split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
val,ALL,,201552,208244,1.2302130636731976,2.926247892037194,0.9456081090037243,0.029522632356708864,201251,1.229788285435491,0.029509274250118983
val,SITE,1,5836,6062,1.31550836565919,2.175466506865622,0.8946439939439694,0.10035365379047947,5816,1.3196083000455017,0.10052544459593164
val,SITE,10,5777,6121,0.5691783472531927,0.8779831991919035,0.8684463713036671,0.11476904564608778,5775,0.5693416005863255,0.11478866467349583
val,SITE,11,3449,2857,5.089764100018534,8.572192464883496,0.9263265587829339,0.09253167781287633,3398,5.163047864173636,0.09322245608446658
val,SITE,12,5741,6157,1.0939258037829644,1.7170288935416824,0.86865741735021,0.09829173856892928,5738,1.0944567321068985,0.0983173666613207
val,SITE,13,5694,5902,1.050944890414764,1.613094353778131,0.8431212751222653,0.12498479263303106,5691,1.0514511976582872,0.12501762710200062
val,SITE,14,4955,4639,0.9343116281732661,1.4586810027417056,0.8753215389137445,0.10835515539712691,4954,0.9344756464125362,0.10836601477476665
val,SITE,15,5016,4737,1.296075426398567,2.0186763890815564,0.8710748896199202,0.10906582717350888,5014,1.2965044067956368,0.10908730950874815
val,SITE,16,3387,3681,0.2450433589547217,0.3858341061735042,0.854155153555112,0.12019900356606886,3387,0.2450433589547217,0.12019900356606886
val,SITE,17,4859,4779,0.6409417849619047,1.0170784688653318,0.8738220996729251,0.10766337115127604,4859,0.6409417849619047,0.10766337115127604
val,SITE,18,4892,4385,2.3663238482496483,3.7482417831744033,0.881412619872046,0.10649832369507739,4889,2.36745685968974,0.1065302703531215
val,SITE,19,4888,4548,2.8622271804209136,4.534949800160839,0.8784416844276159,0.107673315681387,4883,2.8648413991967163,0.10772810927827783
val,SITE,2,5798,6100,1.1311164288227415,1.8505891695142966,0.8993545022466612,0.10023502610777955,5795,1.1316541321453502,0.10026090015748951
val,SITE,20,4790,4848,1.0682395798366104,1.6751942159383022,0.8845822030118913,0.10657299186883831,4789,1.0684251907312887,0.10658399061553875
val,SITE,21,4836,4802,0.5594722524892333,0.8772852274326529,0.870548902654237,0.11078992081038867,4836,0.5594722524892333,0.11078992081038867
val,SITE,22,4935,4703,1.0001420965974936,1.5842287594859652,0.8805448426658086,0.10657974178527221,4935,1.0001420965974936,0.10657974178527221
val,SITE,23,4556,4249,0.7930289321530797,1.2613666738009872,0.8886319860166493,0.10552179028407425,4555,0.7931514591927324,0.1055329709968658
val,SITE,24,4954,4684,1.1909909954307345,1.8950855400468534,0.8787207110872556,0.10718407031250914,4952,1.191395078582602,0.10720548833708575
val,SITE,25,5056,4380,5.335848211048501,8.427291311501262,0.8854407524421221,0.10514988476014893,5036,5.355710643623986,0.10535790461800981
val,SITE,26,4929,4709,0.5384716986974999,0.8343125825354698,0.8758497015393881,0.1101374351574476,4929,0.5384716986974999,0.1101374351574476
val,SITE,27,6328,5642,6.211174347241292,9.732028981160427,0.8772924565975165,0.09818704577694091,6190,6.281644120162446,0.09893349830914368
val,SITE,28,4356,4636,0.24446238165390333,0.38486979407582594,0.8484298057917457,0.11438301237371812,4356,0.24446238165390333,0.11438301237371812
val,SITE,29,4306,4755,0.2418253132173704,0.3899983457314338,0.8328155066113423,0.12143856351490605,4306,0.2418253132173704,0.12143856351490605
val,SITE,3,5642,6256,0.844963370668195,1.3475715016327108,0.894560515271586,0.1012887988145279,5641,0.8450941888576196,0.1012977197113107
val,SITE,30,4479,4326,0.595641694518838,0.9387823691382754,0.8690965606255582,0.11307570969800552,4479,0.595641694518838,0.11307570969800552
val,SITE,31,4978,4660,1.0606616721000237,1.678587768529697,0.8857276241437486,0.104141039768299,4978,1.0606616721000237,0.104141039768299
val,SITE,32,4836,4802,0.4830148847152789,0.7565059564058434,0.87071389187716,0.10421930571230777,4836,0.4830148847152789,0.10421930571230777
val,SITE,33,4977,4661,1.2234615445322652,1.9657056435516906,0.8839852812398515,0.10483353882583925,4976,1.2236756249765155,0.10484400399403279
val,SITE,34,5355,5493,0.3015134488988101,0.4684556255222152,0.8562588180575679,0.11834181831374081,5355,0.3015134488988101,0.11834181831374081
val,SITE,35,5319,5571,0.42513423329973876,0.6737201324411932,0.8598769986258394,0.1135900972426909,5319,0.42513423329973876,0.1135900972426909
val,SITE,36,4919,4719,0.7188938230088291,1.1186315325385754,0.8715241372016712,0.1113304197997377,4919,0.7188938230088291,0.1113304197997377
val,SITE,37,4950,4688,0.6850126376296535,1.0709688156140102,0.8721256530620698,0.10758872665295725,4950,0.6850126376296535,0.10758872665295725
val,SITE,38,5140,4498,0.7803837338890083,1.2216216974781977,0.8800171874739026,0.10820247312290664,5140,0.7803837338890083,0.10820247312290664
val,SITE,39,4453,4352,0.4424941254457195,0.6955018159608856,0.8808338365684036,0.10794905032875284,4453,0.4424941254457195,0.10794905032875284
val,SITE,4,3314,3769,0.17910499931844237,0.2702324745343825,0.7850130194112807,0.14263817212536478,3313,0.17912746838513519,0.14265646866540682
val,SITE,40,4998,4640,1.0337963680795976,1.6449740399376558,0.8846627568453991,0.09962169140241622,4998,1.0337963680795976,0.09962169140241622
val,SITE,41,5616,6282,1.2390174798911537,2.0316388597479373,0.9153142792652437,0.0931410365500487,5608,1.240585202975637,0.09320711105200984
val,SITE,42,5662,6236,0.38882883511817906,0.6464957901449323,0.8834537318248904,0.10461520128571268,5662,0.38882883511817906,0.10461520128571268
val,SITE,5,3094,3989,0.1855590368792476,0.2796217973302483,0.7836310608444843,0.14729049406696207,3093,0.18560485569123364,0.14731371721368736
val,SITE,6,3332,2974,1.4556182978981111,2.56147452728233,0.9292273561481442,0.0894594105026298,3309,1.4640818154678563,0.08976669079194369
val,SITE,7,2448,9450,1.1639642772611742,1.865130233531712,0.8416860643781711,0.11725732782198538,2448,1.1639642772611742,0.11725732782198538
val,SITE,8,3389,2917,1.355157262858088,2.396282232437447,0.933538922488477,0.08918991734573806,3378,1.3587763188654958,0.08933328063402139
val,SITE,9,5313,6585,0.17738308489137555,0.27492633158004326,0.7689901379397903,0.1438110765931863,5313,0.17738308489137555,0.1438110765931863
test,ALL,,191732,218062,1.0559082870424497,2.5295571471419005,0.9509074450003043,0.025520457745076927,191253,1.051801506051107,0.025428883280689984
test,SITE,1,6056,5842,1.0420101416030285,1.8642625863062305,0.9270866022491051,0.08599790507934285,6042,1.0441136532214965,0.08609684088264562
test,SITE,10,5872,6026,0.4355689134697458,0.7252900939886314,0.9199647790263025,0.09480916261296514,5872,0.4355689134697458,0.09480916261296514
test,SITE,11,3135,3171,4.914804568668112,8.141923471291241,0.9215868154993899,0.08788718201427549,3090,4.984276360813468,0.08852425082715011
test,SITE,12,5622,6276,1.1170370909681908,1.8419929222663434,0.8931014649406108,0.1054453349283876,5615,1.1182236541702826,0.10551043248774604
test,SITE,13,5354,6241,0.907417804278297,1.4582780427437507,0.7905019200598619,0.11298940966890206,5354,0.907417804278297,0.11298940966890206
test,SITE,14,4725,4870,0.8330828991439686,1.3459330445753186,0.8863520973034207,0.09997990233983395,4723,0.8333651270390443,0.10000054150767763
test,SITE,15,4833,4920,1.0797860518594276,1.7529668203834894,0.8961080806604402,0.09470996803000545,4831,1.080120333154437,0.09472877697725923
test,SITE,16,2982,4087,0.2345514013741158,0.3573345768708314,0.8544390505970533,0.11132053748577164,2982,0.2345514013741158,0.11132053748577164
