baseline,split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse,fit_seconds,predict_seconds
zero,val,ALL,,201552,208244,7.872533892850853,14.81239339626273,-0.3936778753600101,0.1494408063482164,201251,7.883978944126365,0.1495524789596736,0.0,0.0005
zero,val,SITE,1,5836,6062,9.283027758738863,11.449681208822817,-1.9183762720643602,0.5281705511968785,5816,9.314466557771665,0.5290777609800558,,
zero,val,SITE,10,5777,6121,3.8220637874329237,4.524134536027266,-2.4930229852669004,0.5913901354288508,5775,3.823349567099567,0.5914924719395721,,
zero,val,SITE,11,3449,2857,43.54010220353726,53.78799637609854,-1.900666925433638,0.580609169855002,3398,44.18845644496763,0.5849498372178054,,
zero,val,SITE,12,5741,6157,6.4290846542414215,7.986218274556649,-1.841402098161975,0.45717301656931697,5738,6.432342497385848,0.4572924391076087,,
zero,val,SITE,13,5694,5902,5.9264741394450295,7.1909404062110225,-2.1175676610344367,0.5571640576397344,5691,5.9295268845545595,0.5573108396055906,,
zero,val,SITE,14,4955,4639,5.658725403632694,7.006216821211579,-1.8763248001717017,0.5204425854463346,4954,5.6598424253128785,0.5204950935890461,,
zero,val,SITE,15,5016,4737,7.913318007376396,9.70713759297124,-1.9811681733256759,0.524460976900889,5014,7.916409054646988,0.524565535848816,,
zero,val,SITE,16,3387,3681,1.5635293262843224,1.8615456540204038,-2.3949801638173205,0.5799278216358058,3387,1.5635293262843224,0.5799278216358058,,
zero,val,SITE,17,4859,4779,3.8083340836591892,4.7646345947925335,-1.7690677045483594,0.5043628770862122,4859,3.8083340836591892,0.5043628770862122,,
zero,val,SITE,18,4892,4385,14.335643652902698,17.999526434818968,-1.7346732180635938,0.5114182871602282,4889,14.34434444671712,0.5115751598242055,,
zero,val,SITE,19,4888,4548,17.079991816693944,21.468826522932325,-1.7243087103450754,0.509734360329775,4883,17.09726346508294,0.5099952394531223,,
zero,val,SITE,2,5798,6100,7.918614177302518,9.835222859218632,-1.8427765879718656,0.5327134927134317,5795,7.92262726488352,0.5328513227218379,,
zero,val,SITE,20,4790,4848,6.610891831941545,8.24729982801931,-1.7974737362463307,0.5246791143073914,4789,6.612249425767383,0.5247338814255015,,
zero,val,SITE,21,4836,4802,3.3053595430107525,4.107399513527752,-1.837644578999003,0.5187121048100657,4836,3.3053595430107525,0.5187121048100657,,
zero,val,SITE,22,4935,4703,6.058542299898683,7.597115795942532,-1.7470502931219807,0.5110995713189116,4935,6.058542299898683,0.5110995713189116,,
zero,val,SITE,23,4556,4249,4.960695717186129,6.236576228952413,-1.7225147427743566,0.5217314699928329,4555,4.961762486278815,0.5217887218577932,,
zero,val,SITE,24,4954,4684,7.174842929955592,9.00503153122234,-1.7384163674702533,0.5093152326965853,4952,7.177690200928917,0.5094180526010306,,
zero,val,SITE,25,5056,4380,31.98301522943038,40.53205943044665,-1.6500342110759623,0.5057308713639019,5036,32.109164019062746,0.5067340680050121,,
zero,val,SITE,26,4929,4709,3.3768489107831203,4.124298830302649,-2.033824339416498,0.5444478538391019,4929,3.3768489107831203,0.5444478538391019,,
zero,val,SITE,27,6328,5642,35.59035240202276,45.15005908210676,-1.6410773484752164,0.45552175466269557,6190,36.37882673667205,0.4605712481102048,,
zero,val,SITE,28,4356,4636,1.4219494303833793,1.7318223246519262,-2.068971247455304,0.5146962880405086,4356,1.4219494303833793,0.5146962880405086,,
zero,val,SITE,29,4306,4755,1.3543973888179284,1.656550011042062,-2.0163349564878152,0.5158202744533733,4306,1.3543973888179284,0.5158202744533733,,
zero,val,SITE,3,5642,6256,5.748692839418646,7.090143484780154,-1.9188359547462146,0.5329232000869144,5641,5.749684231519234,0.5329704116441495,,
zero,val,SITE,30,4479,4326,3.2570441574570217,4.164237542784738,-1.5756817362185846,0.5015796322780182,4479,3.2570441574570217,0.5015796322780182,,
zero,val,SITE,31,4978,4660,6.247233138308558,7.980306856472293,-1.5828092354860108,0.495105152845874,4978,6.247233138308558,0.495105152845874,,
zero,val,SITE,32,4836,4802,2.7650943121898264,3.474532006883328,-1.7272176060570001,0.47866551527627177,4836,2.7650943121898264,0.47866551527627177,,
zero,val,SITE,33,4977,4661,7.15684649387181,9.193832665752485,-1.5378696525568096,0.490318587060661,4976,7.158259646302251,0.4903678438258878,,
zero,val,SITE,34,5355,5493,1.838062412464986,2.2147642002912042,-2.2129153557390406,0.5594963713082998,5355,1.838062412464986,0.5594963713082998,,
zero,val,SITE,35,5319,5571,2.4942673082346305,3.075818237963621,-1.920597545755104,0.51858698579358,5319,2.4942673082346305,0.51858698579358,,
zero,val,SITE,36,4919,4719,4.150548256759504,5.192967131532669,-1.7687170550731426,0.5168236313236906,4919,4.150548256759504,0.5168236313236906,,
zero,val,SITE,37,4950,4688,4.113096590909091,5.087937167014825,-1.8861125082188486,0.5111303644966921,4950,4.113096590909091,0.5111303644966921,,
zero,val,SITE,38,5140,4498,4.806613266050584,5.961681168224169,-1.8574790498629468,0.5280428857016325,5140,4.806613266050584,0.5280428857016325,,
zero,val,SITE,39,4453,4352,2.833134789748484,3.476475511944063,-1.977383450396852,0.5395848312589193,4453,2.833134789748484,0.5395848312589193,,
zero,val,SITE,4,3314,3769,1.0113368474652988,1.16725177082957,-3.0111247294118506,0.6161163986234431,3313,1.011611454874736,0.6162086724182443,,
zero,val,SITE,40,4998,4640,6.380191138955582,8.010489848390883,-1.7350773823828178,0.48512531400728315,4998,6.380191138955582,0.48512531400728315,,
zero,val,SITE,41,5616,6282,10.086427172364672,12.266854166322371,-2.0873336767823942,0.5623772683700801,5608,10.100615192582026,0.5627781932001904,,
zero,val,SITE,42,5662,6236,2.701990793889085,3.2995366438449727,-2.0357980756440264,0.5339272047974873,5662,2.701990793889085,0.5339272047974873,,
zero,val,SITE,5,3094,3989,1.0454584478021978,1.20596402692928,-3.0245893770392662,0.6352403104812668,3093,1.0457636194633042,0.6353422639683,,
zero,val,SITE,6,3332,2974,13.726145145558224,16.766470003778664,-2.0322751699824457,0.585568393037836,3309,13.820480129948624,0.5875997433203571,,
