split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
val,ALL,,199675,210121,1.2735293264509635,2.958784425010419,0.9444046400693233,0.02985089029539694,199378,1.2751073741986025,0.029872868231878815
val,SITE,1,5793,6105,1.410081652888728,2.249923403142771,0.887481910110239,0.1037883293268435,5774,1.4145665344252156,0.10395883797303293
val,SITE,10,5736,6162,0.613328417100667,0.8971763590383167,0.862951199594369,0.11727795542993456,5734,0.6135351116082625,0.11729839543551014
val,SITE,11,3392,2914,4.957787137197436,8.574423970543146,0.9265096488000564,0.09255576557847214,3341,5.030971695441252,0.0932591403067831
val,SITE,12,5700,6198,1.1281310849440724,1.717139530464133,0.8690503599327151,0.09829807200658923,5697,1.1286772455440104,0.09832386672243157
val,SITE,13,5651,5945,1.0700176552826695,1.6252812102107004,0.8408479467311492,0.12592904720841017,5648,1.0705597068449593,0.12596244061460773
val,SITE,14,4907,4687,0.9805819323574523,1.5049759913411194,0.8678283209804363,0.1117940845902604,4906,0.9807701101606348,0.11180546105636609
val,SITE,15,4973,4780,1.3591341290127792,2.0655166966144605,0.8651291718095655,0.11159653338960626,4971,1.359651135477447,0.11161894989484575
val,SITE,16,3359,3709,0.3337191432386184,0.4901628902307292,0.7657946368856485,0.1527005779118548,3359,0.3337191432386184,0.1527005779118548
val,SITE,17,4812,4826,0.6631044586400439,1.0335367437429412,0.8699597025270575,0.10940557041210064,4812,0.6631044586400439,0.10940557041210064
val,SITE,18,4842,4435,2.3791646220771696,3.7752854877885116,0.8799879137004057,0.10726671308255926,4839,2.3805351987508834,0.10729986013340605
val,SITE,19,4838,4598,2.8770539348112645,4.5891806706828655,0.8750835893187837,0.1089609192709984,4834,2.8792373931353676,0.10900578978052641
val,SITE,2,5756,6142,1.218309138739084,1.9115851203322853,0.892707031401825,0.10353880137212663,5753,1.2189105041914352,0.10356572050191352
val,SITE,20,4744,4894,1.104373110536781,1.7039804047455815,0.8809019254300691,0.10840431998381433,4743,1.1046011609767727,0.10841574517036623
val,SITE,21,4791,4847,0.5913609547695668,0.9172064250595244,0.8587687002082571,0.11583145825503521,4791,0.5913609547695668,0.11583145825503521
val,SITE,22,4889,4749,1.0218311007658283,1.6132209601550747,0.8763099815132924,0.10853020584710574,4889,1.0218311007658283,0.10853020584710574
val,SITE,23,4509,4296,0.8706295008034367,1.3220684906810805,0.8776642406754046,0.11059990477982325,4508,0.8708205904808315,0.11061217057618082
val,SITE,24,4910,4728,1.2388065999976972,1.916260748217236,0.8763602010636081,0.10838171809856115,4908,1.2392877463217955,0.10840377787881599
val,SITE,25,5007,4429,5.288991895482905,8.539402598032686,0.881886623581047,0.10654873148602426,4988,5.308464321931458,0.10675127968456198
val,SITE,26,4882,4756,0.5753608834592108,0.8820600281288632,0.8615085249668566,0.11644056578625189,4882,0.5753608834592108,0.11644056578625189
val,SITE,27,6286,5684,6.042501773077175,9.745009548981322,0.8773729226588589,0.09831800753314901,6149,6.169794945236841,0.09940518812847636
val,SITE,28,4307,4685,0.2984441649700667,0.4728336194031015,0.7723912608628307,0.14052579488282568,4307,0.2984441649700667,0.14052579488282568
val,SITE,29,4262,4799,0.28801184280105513,0.47441748090603886,0.7537422442583288,0.1477251840120976,4262,0.28801184280105513,0.1477251840120976
val,SITE,3,5600,6298,0.9193102728894779,1.4107289514000299,0.8845163788792363,0.10603596229740794,5599,0.9194600703056678,0.10604540015938081
val,SITE,30,4430,4375,0.6357238633907137,0.9753429215492474,0.8584895112872059,0.11747940383066863,4430,0.6357238633907137,0.11747940383066863
val,SITE,31,4933,4705,1.1027651319826637,1.7068256943598015,0.8820947792922524,0.1058929451568525,4933,1.1027651319826637,0.1058929451568525
val,SITE,32,4791,4847,0.5231814588492212,0.8007118778674293,0.855171726302164,0.11030929139462499,4791,0.5231814588492212,0.11030929139462499
val,SITE,33,4935,4703,1.2887358586718125,2.001658454894364,0.8799557271847256,0.10675094719069503,4934,1.288985132011364,0.10676175519264851
val,SITE,34,5313,5535,0.3402937741551542,0.537421525652202,0.8111107139862275,0.13576406618178238,5313,0.3402937741551542,0.13576406618178238
val,SITE,35,5276,5614,0.4571680547704834,0.6923939883710208,0.8517958279553259,0.11673853382462764,5276,0.4571680547704834,0.11673853382462764
val,SITE,36,4876,4762,0.7485940682780459,1.1402709541741651,0.8667620773891653,0.11348405647529838,4876,0.7485940682780459,0.11348405647529838
val,SITE,37,4904,4734,0.7260277250851542,1.0929015679248182,0.8670446882164329,0.10979207455507302,4904,0.7260277250851542,0.10979207455507302
val,SITE,38,5092,4546,0.804681554144045,1.2281287376308792,0.8789311297687016,0.10877881998927584,5092,0.804681554144045,0.10877881998927584
val,SITE,39,4405,4400,0.48726812226277066,0.7389466741820633,0.865333244661997,0.11469214010798527,4405,0.48726812226277066,0.11469214010798527
val,SITE,4,3276,3807,0.2752227688592578,0.5011543137537903,0.25750969908497323,0.26452681303292847,3275,0.275251374572288,0.2645618970926108
val,SITE,40,4953,4685,1.0747438039823949,1.7068298050222752,0.8760743788956243,0.10336775413113494,4953,1.0747438039823949,0.10336775413113494
val,SITE,41,5573,6325,1.3302892948553118,2.05895559067908,0.9131772992145704,0.0943933795153733,5565,1.3321037619368834,0.09446108585327102
